FoodID	Chapter	Food Name	Alcohol	Alpha-carotene	Alpha-tocopherol	Ash	Available carbohydrate by difference	"Available carbohydrate, FSANZ"	Available carbohydrates by weight	Available carbohydrates in monosaccharide equivalent	Beta-carotene	Beta-carotene equivalents	Beta-tocopherol	Caffeine	Calcium	"Carbohydrate by difference, FSANZ"	Cholesterol	Copper	Delta-tocopherol	Dietary folate equivalents	Dry matter	Edible portion	"Energy, total metabolisable (kcal)"	"Energy, total metabolisable (kcal, including dietary fibre)"	"Energy, total metabolisable (kJ)"	"Energy, total metabolisable (kJ, including dietary fibre)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kcal)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kJ)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kcal)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kJ)"	"Fat, total"	Fatty acid 18:3 omega-3	Fatty acid 20:5 omega-3	Fatty acid 22:5 omega-3	Fatty acid 22:6 omega-3	"Fatty acid cis, trans 18:2 omega-9, 11"	"Fatty acid cis,cis 18:2 omega-6"	"Fatty acids, total long chain polyunsaturated omega-3"	"Fatty acids, total monounsaturated"	"Fatty acids, total polyunsaturated"	"Fatty acids, total polyunsaturated omega-3"	"Fatty acids, total polyunsaturated omega-6"	"Fatty acids, total saturated"	"Fatty acids, total trans"	"Fibre, total dietary"	"Fibre, water-insoluble"	"Fibre, water-soluble"	"Folate food, naturally occurring food folates"	"Folate, total"	"Folic acid, synthetic folic acid"	Fructose	Gamma-tocopherol	Glucose	Iodide	Iron	Lactose	Magnesium	Maltose	Manganese	Niacin equivalents from tryptophan	"Niacin equivalents, total"	"Niacin, preformed"	"Nitrogen, total"	Phosphorus	Potassium	"Protein, total; calculated from total nitrogen"	Retinol	Riboflavin	Selenium	Sodium	"Starch, total"	Sucrose	"Sugars, total"	Thiamin	Total carbohydrate by difference	Total carbohydrates by summation	Tryptophan	"Vitamin A, retinol equivalents"	Vitamin B12	Vitamin B6	Vitamin C	Vitamin D; calculated by summation	"Vitamin E, alpha-tocopherol equivalents"	Water	Zinc	
FoodID	Chapter	Food Name	g/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	mg/100g	?g/100g	g/100g	%	kcal/100g	kcal/100g	kJ/100g	kJ/100g	kcal/100g	kJ/100g	kcal/100g	kJ/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	?g/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	g/100g	?g/100g	mg/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	mg/100g	g/100g	g/100g	mg/100g	?g/100g	?g/100g	mg/100g	mg/100g	?g/100g	mg/100g	g/100g	mg/100g	
C34	C	"Juice, apple and orange, unsweetened, ready to drink, Fresh Up, fortified vitamin C"	0			0.24	10.85	10.6	10.6	10.71		3		0	5	10.85	0	0.02		7	11.6	100	43.33	43.93	184.13	186.53	44.62	186.53	45.65	190.82	0.02								0.002	0.009			0.005		0.3			7	7	0	5.9		2.6	0.89	0.14	0	4	0	21	0	0.3	0.3	0.03	7	109	0.19	0	0	0.1	3	0	2.1	10.6	0.01	11.15	10.9		0.5	0	0.02	35	0	0.04	88.4	0.04	
C35	C	"Juice, apple, apricot & orange, unsweetened, ready to drink, Fresh Up, fortified vitamin C"	0			0.28	10.9	10.3	10.3	10.39		43		0	5	10.9	0	0.01		6	11.8	100	42.83	43.43	181.94	184.34	44.1	184.34	46.54	194.54	0.07								0.01	0.03			0.016		0.3			6	6	0	5.7		2.8	0.94	0.12	0	5	0	27	0	0.35	0.35	0.04	9	88	0.25	0	0.01	0.1	1	0	1.8	10.3	0.01	11.2	10.6		7.18	0	0.02	35	0	0.03	88.2	0.05	
C36	C	"Juice, apple, unsweetened, ready to drink, Old Fashioned Apple, Fresh Up"	0	0		0.21	11.42	11	11	11.12	0	0		0	3	11.42	0	0.02		1	11.8	100	44.95	44.95	190.98	190.98	45.69	190.98	47.38	198.03	0.05								0.003	0.024			0.013		0	0	0	1	1	0	6.3		2.3	0.89	0.13	0	3	0	17	0	0.32	0.32	0.02	6	53	0.13	0	0	0.07	1	0	2.4	11	0.01	11.42	11		0	0	0.04	35	0	0.02	88.2	0.03	
C37	C	"Juice, orange & mango, Just Juice, fortified vitamin C"	0			0.18	12.15	10.8	10.8	10.9		19		0	3	12.15	0	0.01		12	12.9	100	44.38	44.98	188.59	190.99	45.69	190.99	51.18	213.94	0.02								0.003	0.008			0.005		0.3			12	12	0	5.9		2.9	0.94	0.08	0	3	0	11	0	0.64	0.64	0.04	6	80	0.25	0	0	0.09	4	0	2	10.8	0.01	12.45	11.1		3.17	0	0.06	35	0	0.1	87.1	0.03	
C38	C	"Juice, orange with apple base, Just Juice, fortified vitamin C"	0			0.19	10.97	10.4	10.4	10.52		7		0	4	10.97	0	0.01		10	11.8	100	43.12	43.72	183.22	185.62	44.41	185.62	46.72	195.27	0.03								0.003	0.012			0.007		0.3			10	10	0	5.2		2.9	0.89	0.07	0	4	0	10	0	0.14	0.14	0.05	8	81	0.31	0	0	0.1	3	0	2.3	10.4	0.01	11.27	10.7		1.17	0	0.03	35	0	0.07	88.2	0.04	
C39	C	"Juice, tropical with apple base, fortified vitamin C"	0			0.2	11.32	11	11	11.11		3		0	3	11.32	0	0.01		10	12.4	100	47.59	47.59	202.25	202.25	48.38	202.25	49.67	207.6	0.01								0.001	0.004			0.002		0	0	0	10	10	0	5.8		3	0.89	0.09	0	3	0	87	0.1	0.48	0.38	0.14	6	82	0.88	0	0	0.1	4	0	2.2	11	0.02	11.32	11		0.5	0	0.02	35	0	0.08	87.6	0.04	
C40	C	"Water, tap"	0	0	0	0.01	0	0	0	0	0	0		0	1.9	0	0	0		0	0.01	100	0	0	0	0	0	0	0	0.02	0								0	0			0		0	0	0	0	0	0	0		0	0.24	0	0	0.51	0	0	0	0	0	0	0	2.3	0	0	0	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	99.99	0	
C41	C	"Water, bottled, New Zealand"	0	0	0	0.01	0	0	0	0	0	0		0	1.79	0	0	0		0	0.01	100	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0		0	0	0	0	0	0	0		0	0.24	0	0	0.65	0	0	0	0	0	0	0	0.23	0	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	99.99	0	
C42	C	"Water, bottled, imported"	0	0	0	0.03	0	0	0	0	0	0		0	10.6	0	0	0		0	0.01	100	0	0	0	0	0	0	0	0	0								0	0			0		0	0	0	0	0	0	0		0	0.24	0	0	2.92	0	0	0	0	0	0	0	0.3	0	0	0	0	5.26	0	0	0	0	0	0	0	0	0	0	0	0	0	99.99	0	
C45	C	"Juice, apple and mango, unsweetened, ready to drink, Fresh Up, fortified vitamin C"	0			0.22	10.68	10.2	10.2	10.29		59		0	5	10.68	0	0.02		4	12.1	100	45.64	45.64	193.96	193.96	46.4	193.96	48.36	202.16	0.01								0.001	0.004			0.004		0	0	0	4	4	0	5.6		2.8	0.89	0.07	0	4	0	25	0.2	0.6	0.4	0.19	6	24	1.19	0	0.01	0	2	0	1.8	10.2	0.05	10.68	10.2		9.85	0	0.05	35	0	0.04	87.9	0.05	
C46	C	"Juice, apple, ready to drink, Fresh Up"	0	0		0.23	10.11	9.6	9.6	9.71	0	0		0	5	10.11	0	0.01		0.3	11.5	100	43.26	43.26	183.81	183.81	43.97	183.81	46.03	192.39	0.04								0.003	0.019			0.01		0	0	0	0.3	0.3	0	5.5		2	0.89	0.07	0	4	0	24	0.2	0.34	0.14	0.18	6	18	1.13	0	0.01	0	2	0	2.1	9.6	0	10.11	9.6		0	0	0.05	11	0	0.01	88.5	0.03	
C47	C	"Flavoured drink, orange, ready to drink"	0	0	0	0	8.6	11.5	11.5	11.78	0	0		0	1	8.6	0	0.01		0	8.9	100	48.7	48.7	206.6	206.6	49.43	206.6	37.63	157.3	0.3	0							0	0	0	0	0		0	0	0	0	0	0	3.1		2.9	0.2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	16	0	5.5	11.5	0	8.6	11.5		0	0	0	1	0	0	91.1	0.05	
C48	C	"Flavoured drink, orange & mango, dry powder"	0	0	0	0.75	96.93	93.26	93.26	97.88	0	0		0	34	92.63	0	0		0	98.65	100	378.78	379.38	1609.05	1611.45	398.89	1667.35	396.32	1656.6	0.61								0.262	0.23			0.091		0.3			0	0	0	0		1.43	0.07	0.1	0	0.6	0	0	0	0	0	0.01	14	1.9	0.06	0	0	0	240	0.53	91.3	92.73	0	97.23	93.56		0	0	0	270	0	0	1.35	0.02	
C49	C	"Flavoured drink, orange mango, low energy, dry powder"	0	0	0	5.62	82.59	41.9	41.9	46.02	0	0		0	184	47.29	0	0		0	94.6	100	184.95	192.55	784.29	814.69	304.69	1273.59	326.62	1365.26	1.4								0.603	0.527			0.209		3.8			0	0	0	0		0.3	0.07	0.3	0	6	0.8	24.5	0	0	0	0.19	81	4.6	1.19	0	0	0	2260	40.8	0	1.1	0	86.39	45.7		0	0	0	30	0	0	5.4	0.02	
C50	C	"Flavoured drink, raspberry, dry powder with water, ready to drink"	0	0	0	0.05	9.44	9.4	9.4	9.86	0	0		0	6.1	9.12	0	0		0	9.5	100	37.64	37.64	159.97	159.97	39.25	164.08	38.13	159.39	0								0	0			0		0	0	0	0	0	0	0		0.2	0.07	0.01	0	0.5	0	0.9	0	0	0	0	1.8	2.2	0.01	0	0	0	12	0	9.2	9.4	0	9.44	9.4		0	0	0	22	0	0	90.5	0	
C51	C	"Flavoured drink, orange, dry powder, Sweet Novel Orange"	0	0	0	0.57	97.29	92.75	92.75	97.35	0	0		0	39	93.28	0	0.01		0	98.84	100	376.83	377.43	1600.75	1603.15	396	1655.28	398.15	1664.25	0.62								0.267	0.234			0.092		0.3			0	0	0	0		0.85	0.07	0.2	0	0.8	0	0	0	0	0	0.01	16	2.8	0.06	0	0	0.7	187	0	91.9	92.75	0	97.59	93.05		0	0	0	260	0	0	1.16	0.03	
C52	C	"Flavoured drink, lemon & barley, dry powder"	0	0	0	0.55	96.26	93.8	93.8	98.12	0	0		0	44	92.4	0	0		0.2	98.88	100	389.8	390.4	1654.76	1657.16	408.45	1707.34	402.74	1683.47	1.5								0.645	0.565			0.224		0.3			0.2	0.2	0	0		9	0.07	0.2	0	1.32	0	16.5	0	0.05	0.05	0.05	20	4.8	0.27	0	0	0	162	1.6	83.2	92.2	0	96.56	94.1		0	0	0	270	0	0	1.12	0.06	
C54	C	"Juice concentrate, orange & mango"	0		0	0.14	36.56	34.1	34.1	34.47		1		0	9.7	36.15	0	0		0.1	37	100	136.4	137	579.7	582.1	140.53	587.43	148.87	622.28	0								0	0			0		0.3			0.1	0.1	0	19.6		7.1	0.94	0.02	0	0.1	0	0.4	0	0.02	0.02	0	0	0.9	0	0	0	0.8	74	0	7.4	34.1	0	36.86	34.4		0.17	0	0	2	0	0	63	0	
C55	C	"Juice concentrate, orange"	0		0	0.14	38.68	34.1	34.1	34.47		5		0	0.8	31.18	0	0		0	40.9	100	151.23	152.03	640.7	643.9	177.37	741.4	165.48	691.72	1.62								0.473	0.515			0.308		0.4			0	0	0	19.6		7.1	0.94	0.01	0	0.06	0	0	0	0	0	0.01	0	1	0.06	0	0	0.9	34	0	7.4	34.1	0	39.08	34.5		0.84	0	0	4	0	0	59.1	0.01	
C56	C	"Flavoured drink, orange & mango, dry powder with water, ready to drink"	0	0	0	0.08	9.29	9.03	9.03	9.48	0	0		0	5	8.88	0	0		0	9.53	100	36.66	36.86	155.73	156.53	38.72	161.86	38.11	159.31	0.06								0.026	0.023			0.009		0.1			0	0	0	0		0.14	0.07	0.01	0	0.5	0.04	0	0	0	0	0	1	2.3	0	0	0	0	24	0.05	8.8	8.98	0	9.39	9.13		0	0	0	26	0	0	90.47	0.01	
C57	C	"Flavoured drink, navel orange, dry powder with water, ready to drink"	0	0	0	0.06	9.33	8.95	8.95	9.39	0	0		0	5	8.95	0	0		0	9.55	100	36.34	36.54	154.37	155.17	38.3	160.11	38.3	160.11	0.06								0.026	0.023			0.009		0.1			0	0	0	0		0.08	0.07	0.02	0	0.5	0	0	0	0	0	0	2	2.4	0	0	0	0	19	0	8.87	8.95	0	9.43	9.05		0	0	0	25	0	0	90.45	0.01	
C58	C	"Flavoured drink, lemon & barley, dry powder with water, ready to drink"	0	0	0	0.06	9.27	8.97	8.97	9.42	0	0		0	6	8.89	0	0		0.02	9.5	100	37.27	37.27	158.2	158.2	39.03	163.14	38.7	161.76	0.14								0.06	0.053			0.021		0	0	0	0.02	0.02	0	0		0.22	0.07	0.02	0	0.6	0	1.6	0	0.01	0.01	0.01	1.9	2.5	0.03	0	0	0	17	0.15	8.6	8.82	0	9.27	8.97		0	0	0	26	0	0	90.5	0.01	
C59	C	"Flavoured drink, raspberry, dry powder"	0	0	0	0.42	98.02	100.7	100.7	105.61	0	0		0	44	94.74	0	0.01		0	98.8	100	403.05	403.65	1712.96	1715.36	420.57	1758	396.33	1656.64	0								0	0			0		0.3			0	0	0	0		2.5	0.07	0.1	0	0.6	0	9.3	0	0	0	0.01	19	1.7	0.06	0	0	0.7	113	0	98.2	100.7	0	98.32	101		0	0	0	230	0	0	1.2	0.01	
C6	C	"Syrup, Coffee and Chicory Essence"	0	0	0	4.93	55.91	53.5	53.5	55.96	0	0		1	30	55.91	0	0.6		0	63.1	100	224.05	224.05	951.96	951.96	227.74	951.96	237.53	992.89	0.2								0.018	0.088			0.085		0	0	0	0	0	0	3.4		2.9	0.06	0.7	0	39	0	100	0.44	3.24	2.8	0.33	90	750	2.06	0	0.03	1.8	65	2	45.2	51.5	0	55.91	53.5	26.07	0	0	0.01	0	0	0	36.9	0.09	
C60	C	"Fruit drink, orange & mango, diluted from juice concentrate with water, ready to drink"	0		0	0.05	10.85	10.45	10.45	10.96		0.3		0	4.3	10.85	0	0		0.03	11	100	41.8	42	177.65	178.45	42.69	178.45	44.32	185.25	0								0	0			0		0.1			0.03	0.03	0	0.14		0.08	0.07	0.01	0	0.4	0	0.11	0	0.01	0.01	0	0	1.9	0	0	0	0	24	0	10.23	10.45	0	10.95	10.55		0.05	0	0	0.6	0	0	89	0	
C61	C	"Flavoured drink, orange, low energy, dry powder with water, ready to drink"	0	0	0	0.1	0.55	0.08	0.08	0.08	0	0		0	0.2	0.2	0	0		0	0.7	100	0.56	0.56	2.37	2.37	1.65	6.92	2.15	9	0.01								0.003	0.003			0.001		0	0	0	0	0	0	0		0.08	0.07	0.01	0	0.5	0	0.17	0	0	0	0.01	1.2	2.4	0.04	0	0	0	32.7	0	0	0.08	0	0.55	0.08		0	0	0	0.2	0	0	99.3	0	
C63	C	"Flavoured drink, orange, low energy, dry powder"	0	0	0	12.64	72.7	10.1	10.1	10.1	0	0		0	329	25.9	0	0		0	95.14	100	69.11	76.71	292.54	322.94	222.81	931.34	287.06	1199.9	0.94								0.339	0.297			0.12		3.8			0	0	0	0		10.1	0.07	0.7	0	3.9	0	22	0	0	0	0.81	155	3.8	5.06	0	0	0	4240	0	0	10.1	0	76.5	13.9		0	0	0	30	0	0	4.86	0.04	
C64	C	"Flavoured drink, orange & mango, low energy, dry power with water, ready to drink"	0	0	0	0.09	1.29	0.7	0.7	0.77	0	0		0	4.6	0.76	0	0		0	1.4	100	2.98	2.98	12.64	12.64	4.67	19.53	4.92	20.55	0.02								0.006	0.008			0.003		0	0	0	0	0	0	0		0.01	0.07	0.01	0	0.6	0.01	0.37	0	0	0	0	1	2.4	0	0	0	0	35	0.68	0	0.02	0	1.29	0.7		0	0	0	0.5	0	0	98.6	0	
C67	C	"Cocoa, instant, dry powder, KoKo Samoa"	0	0		3.75	19.07	26.95	26.95	29.65	40	40		0	108	19.07	0	2.43		46	97.2	100	597.14	622.74	2477.1	2579.5	617.1	2579.5	585.04	2445.45	48.6	0.423							12.888	1.687	0.423		30.423		12.8			46	46	0	0		0	4.1	4.85	0	309	0	1520	4.7	5.43	0.73	2.45	430	1260	12.99	0	0.06	0	2.1	26.95	0	0	0.01	31.87	39.75		6.68	0	0.01	0	0	0.52	2.8	4.25	
C69	C	"Drink, cocoa, instant, dry powder with water, boiled, sweetened, KoKo Samoa hot drink"	0	0	0.01	0.19	4.96	4.99	4.99	5.27	4.76	4.76		0	22.3	4.96	1.72	0.05	0	2.06	7.56	100	35.66	36.15	149.82	151.75	36.3	151.75	36.15	151.12	1.4	0.011	0	0			0.007	0	0.366	0.045	0.011	0.01	0.879		0.24	0	0.24	2.06	2.06	0	0	0	0	1.14	0.11	0.71	7.96	0	29.53	0.21	0.23	0.02	0.13	22.49	49.07	0.77	4.38	0.04	0.18	6.92	0.51	3.77	4.48	0	5.2	5.23	7.03	5.17	0.04	0	0.04	0.08	0.02	92.44	0.13	
C7	C	"Coffee beans, ground, roasted"	0	0		4.04	23.71	26.44	26.4	29	0	0		1360	130	22.72	0	0.82		0	95.9	100	295.2	375.2	1235.35	1555.35	375.17	1568.22	360.21	1505.66	15.4								1.384	6.625			6.139		40			0	0	0	0.1		0.3	0.05	4.1	0	240	0	1910	1.7	11.7	10	2.04	160	2020	12.75	0	0.2	6.5	74	25.9	0.1	0.54	0.01	63.71	66.44		0	0	0.03	0	0	0.48	4.1	0.3	
C74	C	"Energy food drink, chocolate, dry powder, Chocolate, Nesquik, Nestle"	0	0		0.02	98.15	88.3	88.3	92.98	0	0		10	1.5	98.15	0	0		3	99.4	100	358.98	358.98	1525.45	1525.45	364.94	1525.45	404.99	1692.86	0.17	0							0	0	0	0	0		0	0	0	3	3	0	0		0.75	0	0.03	0	0.1	0.5	200	0.3	0.3	0	0.17	2.2	2.4	1.06	0	0.2	0	8.8	6	81.05	82.3	0.02	98.15	88.3		0	0	0.03	0	0	0.15	0.6	0	
C76	C	"Tea beverage, herbal, brewed, ready to drink"	0	0	0	0.3	0	0	0	0	0	0		0	2	0	0	0.02		1	0.3	100	0	0	0	0	0	0	0	0	0	0							0	0	0	0	0		0	0	0	1	1	0	0		0	0.06	0.1	0	1	0	0.04	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	99.7	0	
C77	C	"Coffee substitute, cereal grain beverage, dry powder"	0			5.3	79.9	80	80	88		0		0	52	79.9	0	0.21		52	95.1	100	372.6	374.6	1579.3	1587.3	379.74	1587.3	379.33	1585.6	3.4								0.374	1.73			0.63		1			52	52	0	0		0	4.1	4.6	0	244	0	1100	0.92	17.82	16.9	0.88	580	1840	5.5	0	0.1	14.8	73	80	0	0	0.63	80.9	81		0	0	0.88	0	0	1	4.9	0.51	
C78	C	"Tea beverage, fruit, ready to drink"	0	0	0	0.2	0	0	0	0	0	0		0	2	0	0	0.02		1	0	100	0	0	0	0	0	0	0	0	0								0	0			0		0	0	0	1	1	0	0		0	0.06	0.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	100	0	
C79	C	"Soft drink, carbonated, tonic water"	0	0	0	0.1	8.8	8.8	8.8	8.92	0	0		0	1	8.8	0	0.01		0	8.9	100	35.2	35.2	149.6	149.6	35.79	149.6	35.79	149.6	0	0							0	0	0	0	0		0	0	0	0	0	0	2		4.4	0.24	0.01	0	0	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0.4	8.8	0	8.8	8.8		0	0	0	0	0	0	91.1	0.1	
C8	C	"Juice concentrate, lime"	0		0	0.1	29.34	29.6	29.6	29.78		6		0	9	29.34	0	0.07		0	29.5	100	118.65	118.65	504.26	504.26	120.64	504.26	119.57	499.8	0	0							0	0	0	0	0		0	0	0	0	0	0	12.6		13.5	0.94	0.3	0	4	0	0	0	0.09	0.09	0.01	5	49	0.06	0	0.01	0.14	8	0	3.5	29.6	0.01	29.34	29.6		1	0	0	1	0	0	70.5	0	
C80	C	"Juice, lime, unsweetened, canned, ready to drink"	0		0	0.31	6.31	1.6	1.6	1.62		12		0	12	6.31	0	0.03		7.9	7.48	100	9.4	10.2	39.65	42.85	10.25	42.85	29.4	122.89	0.23								0.022	0.064			0.03		0.4			7.9	7.9	0	0.6		0.6	0.94	0.23	0	7	0	8	0	0.16	0.16	0.04	10	75	0.23	0	0	0	16	0	0.4	1.6	0.03	6.71	2		2	0	0.03	6.4	0	0	92.52	0.06	
C81	C	"Soft drink, carbonated, soda water"	0	0	0	0.01	0.09	0	0	0	0	0		0	0	0.09	0	0		0	0.1	100	0	0	0	0	0	0	0.37	1.53	0	0							0	0	0	0	0		0	0	0	0	0	0	0		0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0.09	0		0	0	0	0	0	0	99.9	0	
C82	C	"Tea beverage, instant, lemon flavoured, dry powder, sweetened"	0	0	0	1	83	81.7	81.7	81.7	0	0		114	3	83	0	0.02		39.1	91.7	100	359.1	359.1	1525.8	1525.8	365.02	1525.8	370.31	1547.9	0.3								0.01	0.084			0.03		0	0	0	39.1	39.1	0	0		81.7	0.06	0.15	0	10	0	1410	0	0.37	0.37	1.18	13	200	7.4	0	0.2	0	5	0	0	81.7	0	83	81.7		0	0	0.02	92	0	0	8.3	0.1	
C83	C	"Sports drink, flavoured, dry powder, Powerade"	0	0	0	0.57	92.17	85.25	85.25	87.21	0	0		0	0	92.17	0	0		0	94.65	100	355.29	355.29	1508.32	1508.32	360.84	1508.32	388.99	1625.96	1.33								0.293	0.75			0.21		0	0	0	0	0	0	0		46.1	1.5	0	0	0	0	0	0	0	0	0.1	29.4	48.1	0.58	0	0	0	41	0	39.15	85.25	0	92.17	86.75		0	0	0	0	0	0	5.35	0	
C84	C	"Sports drink, flavoured, ready to drink, Powerade"	0	0	0	0.06	10.41	8.78	8.78	9	0	0		0	0	10.41	0	0		0	10.62	100	36.47	36.47	154.81	154.81	37.04	154.81	43.67	182.52	0.15								0	0			0		0	0	0	0	0	0	0		4.39	0.07	0	0	0	0	0	0	0	0	0	3.3	5.4	0	0	0	0	4.6	0	4.39	8.78	0	10.41	8.78		0	0	0	0	0	0	89.38	0	
C86	C	"Sports drink, flavoured, ready to drink, Gatorade"	0	0	0	0.13	6.48	6.36	6.36	6.56	0	0		0	2.4	6.48	0	0		0	7.02	100	28.84	28.84	122.13	122.13	29.22	122.13	29.7	124.13	0.35								0	0			0		0	0	0	0	0	0	0.25		2.08	0.07	0.02	0	0	0	0.09	0	0	0	0.01	0	10	0.06	0	0	0	45	0	4.03	6.36	0	6.48	6.36		0	0	0	0	0	0	92.98	0	
C90	C	"Juice, carrot, canned, ready to drink"	0		0.84	0.6	7.99	6.5	6.5	6.67		8900		0	22	7.99	0	0.04		3.4	10	100	29.49	30.89	125.17	130.77	31.28	130.77	37.34	156.1	0.13								0.006	0.071			0.027		0.7			3.4	3.4	0	1.6		1.7	0.8	0.41	0	13	0	117	0	0.35	0.35	0.1	38	262	0.58	0	0.05	0.13	26	0.2	3	6.3	0.08	8.69	7.2		1486.3	0	0.2	7.6	0	0.84	90	0.16	
C92	C	"Drink, soy milk, ready to drink, So Good, Vanilla Flavoured Soy milk, Sanitarium, fortified vitamins A, B1, B2, & B12, Ca, Mg & P"	0	0	1.87	0.9	7.48	6.7	6.7	7.02	0	0		0	114	7.48	0	0.04	0	21	15.8	100	74.45	76.05	311.11	317.51	75.96	317.51	79.11	330.7	4.23	0.02							0.88	2.727	0.02		0.424		0.8			21	21	0	1.75	0.19	0.61	2	0.45	0	12.6	0.58	68.1	0.7	1	0.3	0.42	112	226	2.39	36.15	0.14	1.4	43	2.13	1.63	4.57	0.08	8.28	7.68		36.15	0.5	0.06	0	0	1.89	84.2	0.13	
C93	C	"Juice concentrate, Blackcurrant, Baker Halls, fortified vitamin C"	0		0	0.79	58.19	56.8	56.8	58.71		1		0	7	58.19	0	0.01		0	59.1	100	227.66	227.66	967.57	967.57	231.48	967.57	237.15	991.27	0	0							0	0	0	0	0		0	0	0	0	0	0	8.8		9.9	0.07	0.4	0	4	1.05	0	0	0.2	0.2	0.02	6	66	0.12	0	0	0	14	0	37.05	56.8	0	58.19	56.8		0.17	0	1.01	260	0	0	40.9	0.1	
C95	C	"Juice concentrate, Lemon & Barley, Baker Halls, fortified vitamin C"	0		0	0.79	44.21	43.6	43.6	44.78		10		0	4	44.21	0	0		5	45	100	174.4	174.4	741.2	741.2	177.32	741.2	179.8	751.57	0	0							0	0	0	0	0		0	0	0	5	5	0	9		11	0.94	0	0	1	0	0	0	0.1	0.1	0	4	18	0	0	0	0	14	0	23.6	43.6	0	44.21	43.6		1.67	0	0.01	151	0	0	55	0	
C96	C	"Juice concentrate, Orange & Barley Syrup, Baker Halls, fortified vitamin C"	0	0	0	0.79	44.21	43.6	43.6	44.78	1450	1450		0	4	44.21	0	0		5	45	100	174.4	174.4	741.2	741.2	177.32	741.2	179.8	751.57	0								0	0			0		0	0	0	5	5	0	9		11	0.94	0	0	1	0	0	0	0.1	0.1	0	4	18	0	0	0	0	14	0	23.6	43.6	0	44.21	43.6		242.15	0	0.01	151	0	0	55	0	
C97	C	"Juice concentrate, Lemon & Barley Syrup, Barkers, fortified vitamin C"	0		0	0.79	44.21	43.6	43.6	44.78		10		0	4	44.21	0	0		5	45	100	174.4	174.4	741.2	741.2	177.32	741.2	179.8	751.57	0								0	0			0		0	0	0	5	5	0	9		11	0.94	0	0	1	0	0	0	0.1	0.1	0	4	18	0	0	0	0	14	0	23.6	43.6	0	44.21	43.6		1.67	0	0.01	260	0	0	55	0	
C99	C	"Flavoured drink, assorted flavours, dry powder, Raro"	0	0	0	0.57	97.29	92.75	92.75	97.35	0	0		0	39	93.28	0	0.01		0	98.84	100	376.83	377.43	1600.75	1603.15	396	1655.28	398.15	1664.25	0.62								0.267	0.234			0.092		0.3			0	0	0	0		0.85	0.07	0.2	0	0.8	0	0	0	0	0	0.01	16	2.8	0.06	0	0	0	187	0	91.9	92.75	0	97.59	93.05		0	0	0	140	0	0	1.16	0.03	
D1002	D	"Breakfast cereal, wheat bran flakes, read to eat, All Bran Wheat Flakes, Kellogg's, fortified vitamins B1, B2 & folate, Fe, Mg & Zn"	0	0	0.4	3.7	60.14	68.9	68.9	74.8	2	2		0	40	60.14	0	0.48	0	544.72	95.5	100	355.73	382.73	1509.99	1617.99	387.08	1617.99	351.46	1469.1	1.5								0.2	0.7			0.3		13.5			17	333	316	1.9	4.3	1.7	1	10	0	128	0.7	5500	3.2	11.5	8.3	2.64	340	455	16.66	0	1.4	15	330	52.6	12	16.3	0.92	73.64	82.4		0.33	0	1.3	0	0	0.83	4.5	6	
D1007	D	"Breakfast cereal, mixed grain flakes, read to eat, Crunchy Nut Clusters, fortified vitamins B1, B2, C & folate, & Fe"	0	13	0.6	2.3	76.9	76.7	76.7	82.79	22	28.5		0	12	76.9	0	0.1	0	156.28	96.7	100	401.7	407.5	1698.09	1721.29	411.79	1721.29	412.61	1724.7	7.3								3.6	0.9			1.3		2.9			16	100	84	1.7	0	1.6	0.69	4	0	27	0.6	290	2.2	7.2	5	1.22	69	150	7.3	0	0.6	3	340	48.4	24.4	28.3	0.55	79.8	79.6		4.76	0	0.1	20	0	0.6	3.3	0.4	
