FoodID	Chapter	Food Name	Alcohol	Alpha-carotene	Alpha-tocopherol	Ash	Available carbohydrate by difference	"Available carbohydrate, FSANZ"	Available carbohydrates by weight	Available carbohydrates in monosaccharide equivalent	Beta-carotene	Beta-carotene equivalents	Beta-tocopherol	Caffeine	Calcium	"Carbohydrate by difference, FSANZ"	Cholesterol	Copper	Delta-tocopherol	Dietary folate equivalents	Dry matter	Edible portion	"Energy, total metabolisable (kcal)"	"Energy, total metabolisable (kcal, including dietary fibre)"	"Energy, total metabolisable (kJ)"	"Energy, total metabolisable (kJ, including dietary fibre)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kcal)"	"Energy, total metabolisable, available carbohydrate, FSANZ (kJ)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kcal)"	"Energy, total metabolisable, carbohydrate by difference, FSANZ (kJ)"	"Fat, total"	Fatty acid 18:3 omega-3	Fatty acid 20:5 omega-3	Fatty acid 22:5 omega-3	Fatty acid 22:6 omega-3	"Fatty acid cis, trans 18:2 omega-9, 11"	"Fatty acid cis,cis 18:2 omega-6"	"Fatty acids, total long chain polyunsaturated omega-3"	"Fatty acids, total monounsaturated"	"Fatty acids, total polyunsaturated"	"Fatty acids, total polyunsaturated omega-3"	"Fatty acids, total polyunsaturated omega-6"	"Fatty acids, total saturated"	"Fatty acids, total trans"	"Fibre, total dietary"	"Fibre, water-insoluble"	"Fibre, water-soluble"	"Folate food, naturally occurring food folates"	"Folate, total"	"Folic acid, synthetic folic acid"	Fructose	Gamma-tocopherol	Glucose	Iodide	Iron	Lactose	Magnesium	Maltose	Manganese	Niacin equivalents from tryptophan	"Niacin equivalents, total"	"Niacin, preformed"	"Nitrogen, total"	Phosphorus	Potassium	"Protein, total; calculated from total nitrogen"	Retinol	Riboflavin	Selenium	Sodium	"Starch, total"	Sucrose	"Sugars, total"	Thiamin	Total carbohydrate by difference	Total carbohydrates by summation	Tryptophan	"Vitamin A, retinol equivalents"	Vitamin B12	Vitamin B6	Vitamin C	Vitamin D; calculated by summation	"Vitamin E, alpha-tocopherol equivalents"	Water	Zinc	
FoodID	Chapter	Food Name	g/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	mg/100g	?g/100g	g/100g	%	kcal/100g	kcal/100g	kJ/100g	kJ/100g	kcal/100g	kJ/100g	kcal/100g	kJ/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	g/100g	?g/100g	?g/100g	?g/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	g/100g	mg/100g	g/100g	?g/100g	mg/100g	mg/100g	mg/100g	g/100g	mg/100g	mg/100g	g/100g	?g/100g	mg/100g	?g/100g	mg/100g	g/100g	g/100g	g/100g	mg/100g	g/100g	g/100g	mg/100g	?g/100g	?g/100g	mg/100g	mg/100g	?g/100g	mg/100g	g/100g	mg/100g	
A1017	A	"Bread, garlic, made with butter, Garlic Bread Traditional Style, La Famiglia & Garlic Bread Italian Style, Signature Range"	0	0	0.44	2	39.12	41.47	41.47	45.45	0.54	0.54		0	83.2	39.12	10.11	0.12	0	21.8	71.9	100	372.76	379.96	1559.68	1588.48	380.02	1588.48	370.46	1548.52	19.63								5.14	2.4			10.56		3.6			21.8	21.8	0	0.5		0	2	0.64	0	21.8	2.3	912	1.38	2.58	1.2	1.33	78.5	96.8	7.55	52.2	0.07	6.97	460	38.67	0	2.8	0.07	42.72	45.07		52.29	0	0.04	2.4	0.18	0.44	28.1	1.01	
A1019	A	"Bread, garlic, made with margarine, Garlic Bread, Pams & Garlic Bread Traditional, Mamma Fiorelli's"	0	0	2.78	2	36.17	41.47	41.47	45.45	0.54	0.54		0	83.2	36.17	0	0.12	0	21.8	70.85	100	389.84	397.04	1629.9	1658.7	396.82	1658.7	375.27	1568.63	21.53								6.1	9.27			4.6		3.6			21.8	21.8	0	0.5	0.19	0	0	0.64	0	21.8	2.3	912	1.26	2.46	1.2	1.33	78.5	96.8	7.55	52.2	0.07	6.97	460	38.67	0	2.8	0.07	39.77	45.07		52.29	0	0.04	2.4	0	2.8	29.15	1.01	
A1021	A	"Bread, mixed grain & seed, sliced, prepacked, 9 Grain & Seed Toast, Tip Top, fortified"	0	0	3.78	2.1	39.96	34.98	34.98	38.36	0	0	0.07	0	87	39.96	0	0.32	0	442.14	63.8	100	224.87	235.87	950.71	994.71	237.97	994.71	258.23	1079.4	4	0.292					0.925		1.65	1.227	0.292	0.935	0.367		5.5			38	280	242	0.05	0.2	0.25	0.5	6.1	0.03	85	1.6	1300	2.04	2.81	0.77	2.1	200	250	12.24	0	0.1	9.4	410	33	0.05	1.98	0.24	45.46	40.48		0	0	0.18	0	0	3.83	36.2	1.6	
A1024	A	"Bread, mixed grain, sliced, prepacked, Ancient Grains, Vogel's"	0	0	0.47	1.5	36.71	32.92	32.92	36.02	6	6		0	41	36.71	0	0.2	0	34.65	56.9	100	206.44	216.44	872.37	912.37	218.27	912.37	233.68	976.8	4	0.233	0				0.752	0	1.575	0.996	0.233	0.763	0.281		5	4.28	0.72	34.65	34.65	0	0.62	0.13	0.34	0.5	1.6	0.03	49	1.73	1200	1.62	2.42	0.8	1.7	140	180	9.69	14.7	0.05	3.2	360	30.1	0.11	2.82	0.18	41.71	37.92		15.7	0	0.21	0	0	0.48	43.1	1.1	
A1029	A	"Cracker, corn, ready to eat, Cruskits, Corn, Arnott's"	0	12	0.04	1.95	80.19	73.29	73.29	80.6	38	44		0	2.4	80.19	0.25	0.05	0	16	93.1	100	336.46	339.74	1428.46	1441.58	344.87	1441.58	372.92	1558.79	1.2	0.021	0				0.623	0	0.288	0.644	0.021	0.623	0.205		1.64	1.49	0.15	16	16	0	0.06	0.01	0.05	0.5	0.45	0	11	0	77	1.05	1.06	0.01	1.3	48	70	8.13	0	0.02	4.4	740	73.1	0.08	0.19	0.04	81.83	74.93		7.35	0	0.06	0	0	0.04	6.9	0.21	
A1030	A	"Cracker, wheat, ready to eat, Salada, Light, Original, Arnott's"	0	0	0.21	3	75.61	66.32	66.32	72.87	6	6		0	25	75.61	3.7	0.16	0	40.85	95.3	100	332.45	338.87	1409.6	1435.28	343.37	1435.28	381.15	1593.21	2.65	0.034	0				0.627	0	0.478	0.66	0.034	0.627	0.618	0.005	3.21	1.99	1.22	40.85	40.85	0	0.14	0.03	0.14	0.5	1.3	0	35	0.86	1200	1.2	2.2	1	1.9	120	190	10.83	1.5	0.03	9.7	1000	64.9	0.28	1.42	0.16	78.82	69.53		2.5	0	0.37	0	0	0.22	4.7	0.92	
A1031	A	"Cracker, mixed grain, ready to eat, Cruskits, Light, Arnott's"	0	0	0.25	2.85	72.64	65.15	65.15	71.53	0	0		0	56	72.64	1.2	0.2	0	27	93.75	100	333.24	339.68	1413.15	1438.91	344.24	1438.91	374.72	1566.32	2.5	0.059	0				0.903	0	0.323	0.963	0.059	0.905	0.379		3.22	1.87	1.35	27	27	0	0.03	0.01	0	6.6	1.6	0.83	46	0	1300	1.2	2.61	1.41	2.2	160	220	12.54	8.1	0.06	23	820	62.6	1.69	2.55	0.45	75.86	68.37		8.1	0	0.13	0	0	0.25	6.25	1.2	
A1032	A	"Cracker, mixed grain, ready to eat, Crisp Bread Original, Litebread, Huntley & Palmers"	0	0	0.29	2.2	74.83	66.34	66.34	72.65	0	0		0	57	74.83	1.2	0.17	0	27	95.15	100	339.1	345.98	1437.43	1464.95	350.47	1464.95	384.97	1609.19	3	0.046	0				0.647	0	0.967	0.693	0.046	0.647	0.342		3.44	2.17	1.27	27	27	0	1.78	0.02	0	2.7	0.83	0.3	37	0	900	1.2	2.61	1.41	2.05	140	220	11.69	8.1	0.06	8.5	450	61.7	2.56	4.64	0.45	78.27	69.78		8.1	0	0.13	0	0	0.3	4.85	1.2	
A1033	A	"Cracker, wheat, ready to eat, Cream Crackers, Reduced Fat, Huntley & Palmers"	0	0	0.5	1	73.89	66.17	66.17	72.68	6	6		0	28	73.89	1.2	0.17	0	40.85	96.1	100	348.77	359.53	1477.09	1520.13	363.67	1520.13	395.04	1651.28	4.15	0.033	0.003				0.573	0.003	1.813	0.609	0.036	0.573	0.35		5.38	4.11	1.27	40.85	40.85	0	0	0.05	0.04	0.5	1.2	0	36	1.96	990	1.2	2.2	1	2.05	120	220	11.69	1.5	0.03	6.7	180	64	0.17	2.17	0.16	79.27	71.55		2.5	0	0.13	0	0	0.5	3.9	1	
A1034	A	"Cracker, rice, plain, composite"	0	0	0.87	1.5	83.71	75.66	75.66	83.12	0	0		0	7.8	83.71	0	0.2	0	18	96.2	100	362.55	363.95	1536.15	1541.75	368.84	1541.75	401.58	1678.6	3.75								1.268	1.218			0.701		0.7	0.7	0	18	18	0	0	0.06	0	0.5	0.36	0	33	0	1200	1.4	3.24	1.84	1.1	120	130	6.55	0	0.11	1	470	73.7	1.96	1.96	0.07	84.41	76.36		0	0	0.76	0	0	0.88	3.8	1.2	
